caseid,year,id,age,sex,educ,degree,rincome,gunlaw,gunsales
"20063687",2006,3687,38,1,12,1,99,0,0
"20063688",2006,3688,20,1,9,1,0,1,4
"20063689",2006,3689,34,1,12,1,0,0,0
"20063690",2006,3690,34,1,14,1,13,0,0
"20063691",2006,3691,36,1,11,0,11,1,0
"20063692",2006,3692,20,2,10,0,2,2,0
"20063693",2006,3693,41,1,16,3,12,1,1
"20063694",2006,3694,52,2,11,1,0,1,8
"20063695",2006,3695,43,2,14,2,13,0,1
"20063696",2006,3696,53,2,7,0,0,0,0
"20063697",2006,3697,77,2,11,1,0,1,2
"20063698",2006,3698,31,2,13,2,0,1,0
"20063699",2006,3699,57,1,7,0,0,1,0
"20063700",2006,3700,51,1,10,0,0,2,0
"20063701",2006,3701,31,2,12,1,0,9,1
"20063702",2006,3702,27,1,11,1,99,0,0
"20063703",2006,3703,53,2,16,3,0,0,1
"20063704",2006,3704,30,1,8,0,12,2,3
"20063705",2006,3705,44,2,16,3,12,1,0
"20063706",2006,3706,70,2,9,0,0,0,0
"20063707",2006,3707,26,2,13,1,13,0,0
"20063708",2006,3708,21,1,14,1,12,0,0
"20063709",2006,3709,40,1,8,0,12,2,0
"20063710",2006,3710,24,2,12,1,0,0,0
"20063711",2006,3711,53,2,14,1,12,1,0
"20063712",2006,3712,69,1,10,0,13,0,0
"20063713",2006,3713,34,1,12,1,13,0,0
"20063714",2006,3714,30,1,12,1,13,8,1
"20063715",2006,3715,24,2,16,3,13,0,0
"20063716",2006,3716,43,2,11,0,4,1,1
"20063717",2006,3717,48,2,11,0,12,0,0
"20063718",2006,3718,43,1,16,3,12,1,0
"20063719",2006,3719,34,1,12,1,12,0,1
"20063720",2006,3720,51,1,12,1,12,1,4
"20063721",2006,3721,46,2,14,2,10,2,3
"20063722",2006,3722,40,2,10,1,11,1,9
"20063723",2006,3723,74,2,10,0,0,1,3
"20063724",2006,3724,32,2,20,4,12,1,0
"20063725",2006,3725,33,2,12,1,0,0,0
"20063726",2006,3726,61,1,16,3,12,0,0
"20063727",2006,3727,69,2,13,1,0,0,3
"20063728",2006,3728,22,2,16,1,2,0,0
"20063729",2006,3729,56,2,11,0,13,2,1
