CASEID,ABANY,ABFIRM,ABIMP,ABINFO
"1982 300",2,4,2,2
"1982 301",2,4,2,3
"1982 302",2,3,3,3
"1982 303",2,4,1,1
"1982 304",1,3,2,3
"1982 305",1,4,2,2
"1982 306",2,4,2,3
"1982 307",2,4,2,1
"1982 308",8,8,4,4
"1982 309",2,4,3,4
"1982 310",2,4,3,4
"1982 311",2,4,4,4
"1982 312",2,4,2,3
"1982 313",2,4,2,1
"1982 314",2,4,3,1
"1982 315",2,4,2,4
"1982 316",1,3,4,1
"1982 317",2,2,1,2
"1982 318",2,3,3,2
"1982 319",2,4,2,3
"1982 320",2,3,2,4
"1982 321",1,4,2,1
"1982 322",1,4,1,1
"1982 323",8,3,2,2
"1982 324",2,4,1,2
"1982 325",2,4,2,4
"1982 326",2,4,2,3
"1982 327",2,2,2,4
"1982 328",2,4,2,2
"1982 329",2,4,4,1
"1982 330",2,4,1,1
"1982 331",2,3,3,3
"1982 332",1,4,2,4
"1982 333",2,4,1,3
"1982 334",2,3,2,3
"1982 335",2,4,2,3
"1982 336",1,2,2,3
"1982 337",2,3,2,3
"1982 338",2,2,3,4
"1982 339",2,4,2,1
"1982 340",2,3,2,2
"1982 341",1,4,2,3
"1982 342",2,4,1,2
"1982 343",2,3,2,3
"1982 344",2,4,3,4
"1982 345",2,3,4,3
"1982 346",1,4,3,4
"1982 347",2,2,3,4
"1982 348",2,2,2,2
"1982 349",1,4,3,1
"1982 350",2,4,4,1
"1982 351",2,3,2,4
"1982 352",2,4,3,4
"1982 353",1,3,1,2
"1982 354",2,2,2,4
"1982 355",1,4,3,2
"1982 356",1,4,2,1
"1982 357",1,4,2,4
"1982 358",2,3,3,3
"1982 359",2,8,3,3
"1982 360",2,4,2,4
"1982 361",2,4,3,3
"1982 362",2,3,2,3
"1982 363",2,4,4,4
"1982 364",2,4,3,4
"1982 365",2,4,2,1
"1982 366",2,4,2,4
"1982 367",1,4,3,4
"1982 368",2,3,2,2
"1982 369",2,4,2,3
"1982 370",2,4,2,3
"1982 371",1,3,1,4
"1982 372",1,4,2,2
"1982 373",1,4,3,1
"1982 374",1,2,2,3
"1982 375",1,4,2,1
"1982 376",1,4,1,1
"1982 377",1,4,2,2
"1982 378",8,4,3,3
"1982 379",2,4,4,4
"1982 380",2,4,2,2
"1982 381",1,4,2,1
"1982 382",2,4,3,4
"1982 383",2,4,2,3
"1982 384",8,3,2,3
"1982 385",2,4,1,3
"1982 386",2,3,3,4
"1982 387",2,4,4,2
"1982 388",1,2,8,4
"1982 389",2,4,4,1
"1982 390",2,4,4,4
"1982 391",2,4,4,4
"1982 392",2,2,3,4
"1982 393",2,4,3,4
"1982 394",2,4,3,3
"1982 395",2,4,2,3
"1982 396",1,4,2,1
"1982 397",1,1,1,4
"1982 398",2,4,3,3
"1982 399",1,3,3,4
"1982 400",1,3,3,4
"1982 401",1,2,3,4
"1982 402",2,3,3,4
"1982 403",2,2,3,4
"1982 404",2,1,2,4
"1982 405",8,2,3,3
"1982 406",2,4,3,4
"1982 407",2,4,3,1
"1982 408",1,3,4,3
"1982 409",1,4,1,1
"1982 410",1,4,3,4
"1982 411",2,4,2,2
"1982 412",2,4,2,3
"1982 413",1,4,2,3
"1982 414",1,2,4,4
"1982 415",1,8,4,4
"1982 416",2,4,4,4
"1982 417",1,4,1,2
"1982 418",2,4,2,2
"1982 419",2,4,2,1
"1982 420",1,4,4,4
"1982 421",1,4,2,3
"1982 422",2,4,2,2
"1982 423",1,3,3,2
"1982 424",2,3,2,3
"1982 425",1,4,4,4
"1982 426",2,4,1,1
"1982 427",1,3,3,4
"1982 428",1,4,2,4
"1982 429",1,4,2,3
"1982 430",1,3,3,1
